"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.8256121285990333","292 /  17   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.6057990344212262","1540 /  8   "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.30796257196250393","210 /  12   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.2570287867142225","2826 /  10   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.2431195341747532","4595 /  14   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.19836112296390404","220 /  8   "
"Oxysterol-binding protein 2","OSBP2","Q969R2","CHEMBL5465343","Unclassified protein","0.14981629560937967","0 /  7   "
"Oxysterol-binding protein 1","OSBP","P22059","CHEMBL4523203","Unclassified protein","0.14981629560937967","0 /  11   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.14337793604142002","1202 /  21   "
"Tyrosine-protein phosphatase non-receptor type 11","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.1415730023083708","1616 /  2   "
"Galectin-4","LGALS4","P56470","CHEMBL1671608","Other cytosolic protein","0.12520536876945676","8 /  3   "
"Galectin-3","LGALS3","P17931","CHEMBL4531","Other cytosolic protein","0.12520536876945676","732 /  6   "
"Galectin-8","LGALS8","O00214","CHEMBL5475","Other cytosolic protein","0.12520536876945676","16 /  7   "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.12332110189017471","497 /  15   "
"Cyclin-dependent kinase 1/cyclin B1","N/A","P06493&P14635","CHEMBL1907602","Kinase","0.0975450039477353","319 /  1   "
"NPC1-like intracellular cholesterol transporter 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.08771448150842992","80 /  16   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.08766305336559989","846 /  44   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.08615150120587137","655 /  223   "
"Synaptojanin-2","SYNJ2","O15056","CHEMBL4523129","Hydrolase","0.08249884391018494","4 /  9   "
"Toll-like receptor 2","TLR2","O60603","CHEMBL4163","Toll-like and Il-1 receptors","0.07803269694547839","86 /  1   "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.07609510844183602","542 /  52   "
"Isocitrate dehydrogenase [NADP] cytoplasmic","IDH1","O75874","CHEMBL2007625","Oxidoreductase","0.06838501170313296","2342 /  2   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.06633844824054566","658 /  77   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.06080866758652797","6692 /  2   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.0602489435132774","433 /  41   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.06018903340303408","84 /  10   "
"Eukaryotic initiation factor 4A-I","EIF4A1","P60842","CHEMBL2052028","Hydrolase","0.05913634630060869","18 /  1   "
"DNA polymerase alpha catalytic subunit","POLA1","P09884","CHEMBL1828","Transferase","0.0586854866302412","17 /  2   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.05645506243062731","207 /  33   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.05429286109558302","1139 /  28   "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Ligase","0.05395574285675895","15 /  13   "
"Neurogenic locus notch homolog protein 1","NOTCH1","P46531","CHEMBL2146346","Membrane receptor","0.04834892785945057","93 /  1   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.04817740361229553","1689 /  1   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.04699055816355817","906 /  13   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.04653257118757649","624 /  13   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.04481061721744146","268 /  44   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.04376308467137275","473 /  24   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.04327550465726544","325 /  15   "
"D-3-phosphoglycerate dehydrogenase","PHGDH","O43175","CHEMBL2311243","Oxidoreductase","0.041690138261893425","294 /  1   "
"Vitamin D3 receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.04125963608137003","216 /  30   "
"Endothelin-1 receptor","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0412510363417409","725 /  3   "
"Nicotinamide N-methyltransferase","NNMT","P40261","CHEMBL2346486","Transferase","0.04019547086898718","98 /  1   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.03976244542212169","1806 /  12   "
"Oxysterols receptor LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.03962671102480888","561 /  9   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.03914770987884473","3793 /  10   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.03845278575843009","248 /  93   "
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.03777792735521854","106 /  10   "
"C-X-C chemokine receptor type 1","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.03736437247001648","31 /  2   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.03660648728431241","282 /  3   "
"Glutamate NMDA receptor; GRIN1/GRIN2B","N/A","Q05586&Q13224","CHEMBL1907603","Ligand-gated ion channel","0.03659507024390495","936 /  34   "
"Glutamate NMDA receptor; GRIN1/GRIN2A","N/A","Q05586&Q12879","CHEMBL1907604","Ligand-gated ion channel","0.03659507024390495","45 /  32   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.03595845935643414","653 /  6   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.035759236884081114","35 /  7   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.03480189027245825","5 /  4   "
