From	To
BMP2_HUMAN	BMP2
AOFB_HUMAN	MAOB
AK1C2_HUMAN	AKR1C2
TTHY_HUMAN	TTR
ITAL_HUMAN	ITGAL
CASP7_HUMAN	CASP7
GSTP1_HUMAN	GSTP1
CAH2_HUMAN	CA2
EGFR_HUMAN	EGFR
HCK_HUMAN	HCK
STS_HUMAN	STS
ALBU_HUMAN	ALB
MMP13_HUMAN	MMP13
VTDB_HUMAN	GC
SEPR_HUMAN	FAP
Q13126	MTAP
CATS_HUMAN	CTSS
P62937	PPIA
APOA2_HUMAN	APOA2
P10828	THRB
P11309	PIM1
CHLE_HUMAN	BCHE
CATL2_HUMAN	CTSV
MMP3_HUMAN	MMP3
CAH1_HUMAN	CA1
PDE4B_HUMAN	PDE4B
NR1H2_HUMAN	NR1H2
CAH12_HUMAN	CA12
FCAR_HUMAN	FCAR
CASP3_HUMAN	CASP3
FKB1A_HUMAN	FKBP1A
TGFR2_HUMAN	TGFBR2
PK3CG_HUMAN	PIK3CG
P49137	MAPKAPK2
RTN4R_HUMAN	RTN4R
DDX6_HUMAN	DDX6
MK08_HUMAN	MAPK8
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
KIF11_HUMAN	KIF11
RORA_HUMAN	RORA
P07900	HSP90AA1
Q06520	SULT2A1
P24941	CDK2
ESR1_HUMAN	ESR1
MIF_HUMAN	MIF
P11142	HSPA8
AK1C3_HUMAN	AKR1C3
BMP7_HUMAN	BMP7
KC1G2_HUMAN	CSNK1G2
LEG7_HUMAN	LGALS7
LEG7_HUMAN	LGALS7B
ICAM2_HUMAN	ICAM2
PNPH_HUMAN	PNP
MK01_HUMAN	MAPK1
ANXA5_HUMAN	ANXA5
PRGR_HUMAN	PGR
EST1_HUMAN	CES1
ANDR_HUMAN	AR
SAHH_HUMAN	AHCY
P00390	GSR
PYRD_HUMAN	DHODH
DUS6_HUMAN	DUSP6
P02743	APCS
MMP8_HUMAN	MMP8
CFAD_HUMAN	CFD
ALDR_HUMAN	AKR1B1
TYPH_HUMAN	TYMP
CATB_HUMAN	CTSB
DYR_HUMAN	DHFR
CACP_HUMAN	CRAT
PH4H_HUMAN	PAH
P06737	PYGL
ANGI_HUMAN	ANG
O15496	PLA2G10
TYSY_HUMAN	TYMS
PDE3B_HUMAN	PDE3B
Q9NVS9	PNPO
NQO1_HUMAN	NQO1
O43617	TRAPPC3
O76054	SEC14L2
SRC_HUMAN	SRC
Q13231	CHIT1
DCAM_HUMAN	AMD1
CATD_HUMAN	CTSD
Q16539	MAPK14
PDPK1_HUMAN	PDPK1
P14061	HSD17B1
SHBG_HUMAN	SHBG
ZA2G_HUMAN	AZGP1
P00736	C1R
O15382	BCAT2
HXK1_HUMAN	HK1
PPARG_HUMAN	PPARG
FABP4_HUMAN	FABP4
P01709	IGLV2-8
CMA1_HUMAN	CMA1
CDD_HUMAN	CDA
PDE4D_HUMAN	PDE4D
NOS3_HUMAN	NOS3
DHSO_HUMAN	SORD
P62508	ESRRG
QPCT_HUMAN	QPCT
ADH1B_HUMAN	ADH1B
ADA17_HUMAN	ADAM17
IGF1R_HUMAN	IGF1R
P56817	BACE1
P63316	TNNC1
DAPK1_HUMAN	DAPK1
P05451	REG1A
PTN1_HUMAN	PTPN1
NR1H4_HUMAN	NR1H4
BAG1_HUMAN	BAG1
CATK_HUMAN	CTSK
FA10_HUMAN	F10
ADHX_HUMAN	ADH5
P49638	TTPA
ISG20_HUMAN	ISG20
UROK_HUMAN	PLAU
P68400	CSNK2A1
CHK1_HUMAN	CHEK1
DHI1_HUMAN	HSD11B1
P08263	GSTA1
ACK1_HUMAN	TNK2
THRB_HUMAN	F2
LCK_HUMAN	LCK
P00326	ADH1C
LGUL_HUMAN	GLO1
PAK6_HUMAN	PAK6
Q9BY41	HDAC8
TGFR1_HUMAN	TGFBR1
P53350	PLK1
P53041	PPP5C
GSK3B_HUMAN	GSK3B
CTNA1_HUMAN	CTNNA1
MMP2_HUMAN	MMP2
Q96CA5	BIRC7
EPHB4_HUMAN	EPHB4
BST1_HUMAN	BST1
Q04828	AKR1C1
PTN11_HUMAN	PTPN11
P11586	MTHFD1
Q9NP99	TREM1
CBR1_HUMAN	CBR1
DPP4_HUMAN	DPP4
FABP7_HUMAN	FABP7
WASP_HUMAN	WAS
MDM2_HUMAN	MDM2
P34096	RNASE4
P01343	IGF1
RXRA_HUMAN	RXRA
MMP12_HUMAN	MMP12
P00517	PRKACA
Q15382	RHEB
NCS1_HUMAN	NCS1
P04179	SOD2
CCNA2_HUMAN	CCNA2
P15086	CPB1
AMYP_HUMAN	AMY2A
Q9UKM7	MAN1B1
MAOM_HUMAN	ME2
O00244	ATOX1
P00480	OTC
FABP5_HUMAN	FABP5
PPARA_HUMAN	PPARA
FNTA_HUMAN	FNTA
IMDH2_HUMAN	IMPDH2
P15153	RAC2
NR1H3_HUMAN	NR1H3
P21802	FGFR2
FGFR1_HUMAN	FGFR1
P12724	RNASE3
P49789	FHIT
MET_HUMAN	MET
A1AT_HUMAN	SERPINA1
PDE5A_HUMAN	PDE5A
LEG2_HUMAN	LGALS2
KSYK_HUMAN	SYK
PDK2_HUMAN	PDK2
ADK_HUMAN	ADK
MCR_HUMAN	NR3C2
CCL5_HUMAN	CCL5
RET4_HUMAN	RBP4
Q14541	HNF4G
P09874	PARP1
NR1I3_HUMAN	NR1I3
MK10_HUMAN	MAPK10
RENI_HUMAN	REN
Q9BZX2	UCK2
P16442	ABO
ALDH2_HUMAN	ALDH2
B3GA1_HUMAN	B3GAT1
P84077	ARF1
CCNT1_HUMAN	CCNT1
CDK6_HUMAN	CDK6
O00204	SULT2B1
ALDOA_HUMAN	ALDOA
DCK_HUMAN	DCK
G6PI_HUMAN	GPI
P07359	GP1BA
HINT1_HUMAN	HINT1
GALK1_HUMAN	GALK1
P61586	RHOA
P11474	ESRRA
HYES_HUMAN	EPHX2
FABP6_HUMAN	FABP6
VGFR2_HUMAN	KDR
P10827	THRA
NR1I2_HUMAN	NR1I2
Q16836	HADH
P35558	PCK1
CFAB_HUMAN	CFB
CLK1_HUMAN	CLK1
NQO2_HUMAN	NQO2
LYAM3_HUMAN	SELP
P54577	YARS1
P07195	LDHB
PLGF_HUMAN	PGF
P22830	FECH
S10A9_HUMAN	S100A9
TGM3_HUMAN	TGM3
P11177	PDHB
FABPH_HUMAN	FABP3
HMDH_HUMAN	HMGCR
PPAP_HUMAN	ACP3
MP2K1_HUMAN	MAP2K1
P61626	LYZ
TPIS_HUMAN	TPI1
TPH1_HUMAN	TPH1
ELNE_HUMAN	ELANE
ARGI2_HUMAN	ARG2
P30043	BLVRB
P32589	SSE1
JAK3_HUMAN	JAK3
Q08881	ITK
C1S_HUMAN	C1S
LEG3_HUMAN	LGALS3
RARB_HUMAN	RARB
P46926	GNPDA1
P78536	ADAM17
P17900	GM2A
EPHA2_HUMAN	EPHA2
MMP9_HUMAN	MMP9
Q9NY01	ABO
IL2_HUMAN	IL2
GCR_HUMAN	NR3C1
XIAP_HUMAN	XIAP
CP2C9_HUMAN	CYP2C9
RARG_HUMAN	RARG
P29373	CRABP2
P20132	SDS
PADI4_HUMAN	PADI4
CP2C8_HUMAN	CYP2C8
O43252	PAPSS1
P07741	APRT
ACE2_HUMAN	ACE2
KAT1_HUMAN	KYAT1
P07686	HEXB
GLYC_HUMAN	SHMT1
GALE_HUMAN	GALE
VDR_HUMAN	VDR
INSR_HUMAN	INSR
P00492	HPRT1
MMP7_HUMAN	MMP7
NDKB_HUMAN	NME2
NOS2_HUMAN	NOS2
P14555	PLA2G2A
RB11A_HUMAN	RAB11A
Q92731	ESR2
STAT1_HUMAN	STAT1
RASH_HUMAN	HRAS
KPYR_HUMAN	PKLR
RAB5A_HUMAN	RAB5A
Q9NPB1	NT5M
RARA_HUMAN	RARA
PNMT_HUMAN	PNMT
P50135	HNMT
KTHY_HUMAN	DTYMK
FPPS_HUMAN	FDPS
CDC42_HUMAN	CDC42
AKT1_HUMAN	AKT1
Q9HAN9	NMNAT1
FA7_HUMAN	F7
ACADM_HUMAN	ACADM
