Symbol,Name,Type,Relevance Score
TP53,Tumor Protein P53,Protein Coding,81.98166
CTNNB1,Catenin Beta 1,Protein Coding,78.46469
MIR7-3HG,MIR7-3 Host Gene,RNA Gene,68.111496
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,64.289055
APC,APC Regulator Of Wnt Signaling Pathway,Protein Coding,60.382126
HULC,Hepatocellular Carcinoma Up-Regulated Long Non-Coding RNA,RNA Gene,48.18762
TERT,Telomerase Reverse Transcriptase,Protein Coding,43.4993
PIK3CA,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha",Protein Coding,43.492096
HEIH,Hepatocellular Carcinoma Up-Regulated EZH2-Associated Long Non-Coding RNA,RNA Gene,42.33949
AFP,Alpha Fetoprotein,Protein Coding,40.578087
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,39.658363
AXIN1,Axin 1,Protein Coding,37.2661
HEPN1,"Hepatocellular Carcinoma, Down-Regulated 1",Protein Coding,37.227337
GPC3,Glypican 3,Protein Coding,36.569546
CCND1,Cyclin D1,Protein Coding,35.451355
EGFR,Epidermal Growth Factor Receptor,Protein Coding,35.351864
CASP8,Caspase 8,Protein Coding,35.324684
PTEN,Phosphatase And Tensin Homolog,Protein Coding,34.971264
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,34.824585
MIR122,MicroRNA 122,RNA Gene,33.058113
KILH,KRT19 Interacting Long Noncoding RNA In Hepatocellular Carcinoma,RNA Gene,32.795605
ALB,Albumin,Protein Coding,31.93127
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,31.464985
MEG3,Maternally Expressed 3,RNA Gene,31.287361
HCCAT5,Hepatocellular Carcinoma Associated Transcript 5,RNA Gene,30.450819
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,30.392584
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,30.266706
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,29.875124
GAS5,Growth Arrest Specific 5,RNA Gene,29.422955
CD274,CD274 Molecule,Protein Coding,29.186562
PDCD1,Programmed Cell Death 1,Protein Coding,28.504286
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,27.828697
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,27.534437
XIST,X Inactive Specific Transcript,RNA Gene,26.942326
IGF2R,Insulin Like Growth Factor 2 Receptor,Protein Coding,26.694332
MIR21,MicroRNA 21,RNA Gene,26.332632
TUG1,Taurine Up-Regulated 1,Protein Coding,26.188597
DANCR,Differentiation Antagonizing Non-Protein Coding RNA,RNA Gene,26.081123
CYTOR,Cytoskeleton Regulator RNA,RNA Gene,25.570377
MYC,"MYC Proto-Oncogene, BHLH Transcription Factor",Protein Coding,25.470463
EPCAM,Epithelial Cell Adhesion Molecule,Protein Coding,25.468756
CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,25.156174
CASP3,Caspase 3,Protein Coding,25.076157
BRAF,"B-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,25.047197
MIRLET7C,MicroRNA Let-7c,RNA Gene,25.011955
MIR18A,MicroRNA 18a,RNA Gene,24.997791
ARID1A,AT-Rich Interaction Domain 1A,Protein Coding,24.89954
KRT7,Keratin 7,Protein Coding,24.89575
MIR125A,MicroRNA 125a,RNA Gene,24.884123
HEPFAL,Hepatocellular Carcinoma Ferroptosis Associative LncRNA,RNA Gene,24.69475
TSC2,TSC Complex Subunit 2,Protein Coding,24.430994
ATM,ATM Serine/Threonine Kinase,Protein Coding,24.336836
MIR215,MicroRNA 215,RNA Gene,24.2594
VDR,Vitamin D Receptor,Protein Coding,24.207651
IFNA2,Interferon Alpha 2,Protein Coding,24.056925
MIR139,MicroRNA 139,RNA Gene,23.596004
SMAD4,SMAD Family Member 4,Protein Coding,23.509287
PDGFRL,Platelet Derived Growth Factor Receptor Like,Protein Coding,23.458445
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,23.313906
PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,23.30664
CCAT1,Colon Cancer Associated Transcript 1,RNA Gene,23.210014
HFE,Homeostatic Iron Regulator,Protein Coding,23.16621
ZFAS1,ZNFX1 Antisense RNA 1,RNA Gene,23.093357
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,23.035627
FGFR2,Fibroblast Growth Factor Receptor 2,Protein Coding,22.997261
PTGS2,Prostaglandin-Endoperoxide Synthase 2,Protein Coding,22.977482
CASC2,Cancer Susceptibility 2,RNA Gene,22.949835
SNHG1,Small Nucleolar RNA Host Gene 1,RNA Gene,22.755312
DNAJB1,DnaJ Heat Shock Protein Family (Hsp40) Member B1,Protein Coding,22.689205
TSC1,TSC Complex Subunit 1,Protein Coding,22.602774
SNHG16,Small Nucleolar RNA Host Gene 16,RNA Gene,22.524761
HHCM,Mahlavu Hepatocellular Carcinoma,Uncategorized,22.3363
NRAS,"NRAS Proto-Oncogene, GTPase",Protein Coding,22.296797
SPRTN,SprT-Like N-Terminal Domain,Protein Coding,22.2964
MMP9,Matrix Metallopeptidase 9,Protein Coding,22.255468
IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,22.182394
RET,Ret Proto-Oncogene,Protein Coding,22.002655
MIR146A,MicroRNA 146a,RNA Gene,22.002054
NOTCH1,Notch Receptor 1,Protein Coding,21.999527
PNPLA3,"Patatin Like Domain 3, 1-Acylglycerol-3-Phosphate O-Acyltransferase ",Protein Coding,21.996414
ERBB2,Erb-B2 Receptor Tyrosine Kinase 2,Protein Coding,21.744205
BIRC5,Baculoviral IAP Repeat Containing 5,Protein Coding,21.618189
MIR34A,MicroRNA 34a,RNA Gene,21.550388
IL6,Interleukin 6,Protein Coding,21.376678
MIR221,MicroRNA 221,RNA Gene,21.193443
PMS2,"PMS1 Homolog 2, Mismatch Repair System Component",Protein Coding,21.166716
IGF1R,Insulin Like Growth Factor 1 Receptor,Protein Coding,21.15164
MIR195,MicroRNA 195,RNA Gene,21.142824
KCNQ1OT1,KCNQ1 Opposite Strand/Antisense Transcript 1,RNA Gene,21.059814
MIR199B,MicroRNA 199b,RNA Gene,20.979671
UCA1,Urothelial Cancer Associated 1,RNA Gene,20.932426
AXL,AXL Receptor Tyrosine Kinase,Protein Coding,20.922802
ABCB1,ATP Binding Cassette Subfamily B Member 1,Protein Coding,20.78887
MIR224,MicroRNA 224,RNA Gene,20.765356
KDR,Kinase Insert Domain Receptor,Protein Coding,20.759869
JAK2,Janus Kinase 2,Protein Coding,20.70907
FGFR3,Fibroblast Growth Factor Receptor 3,Protein Coding,20.66413
HOTAIR,HOX Transcript Antisense RNA,RNA Gene,20.64523
MIR17,MicroRNA 17,RNA Gene,20.540247
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,20.525017
MMP2,Matrix Metallopeptidase 2,Protein Coding,20.520445
EGF,Epidermal Growth Factor,Protein Coding,20.505201
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,20.419973
MIR216A,MicroRNA 216a,RNA Gene,20.316193
ALK,ALK Receptor Tyrosine Kinase,Protein Coding,20.234108
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,20.210472
MIR145,MicroRNA 145,RNA Gene,20.160912
