Gene Symbol,MIM Number,Entrez Gene ID,Full OMIM Title
HEIH,*618615,100859930,HEPATOCELLULAR CARCINOMA-UPREGULATED EZH2-ASSOCIATED LONG NONCODING RNA; HEIH
YY1AP1,*607860,55249,YY1 ASSOCIATED PROTEIN 1; YY1AP1
HULC,*612210,728655,HEPATOCELLULAR CARCINOMA-UPREGULATED LONG NONCODING RNA; HULC
TXNDC5,*616412,81567,THIOREDOXIN DOMAIN-CONTAINING PROTEIN 5; TXNDC5
ZNF689,*618033,115509,ZINC FINGER PROTEIN 689; ZNF689
PSMG2,*609702,56984,PROTEASOME ASSEMBLY CHAPERONE 2; PSMG2
CFAP52,*609804,146845,CILIA- AND FLAGELLA-ASSOCIATED PROTEIN 52; CFAP52
SLC25A47,*609911,283600,"SOLUTE CARRIER FAMILY 25 (MITOCHONDRIAL CARRIER), MEMBER 47; SLC25A47"
VPS37A,*609927,137492,VPS37A SUBUNIT OF ESCRIT-I; VPS37A
TMEM176A,*610334,55365,TRANSMEMBRANE PROTEIN 176A; TMEM176A
SRRD,*602254,402055,SRR1 DOMAIN-CONTAINING PROTEIN; SRRD
TFDP3,*300772,51270,"TRANSCRIPTION FACTOR DP FAMILY, MEMBER 3; TFDP3"
PHF20,*610335,51230,PHD FINGER PROTEIN 20; PHF20
HCCAT5,*615613,283902,HEPATOCELLULAR CARCINOMA-ASSOCIATED TRANSCRIPT 5; HCCAT5
TP53,*191170,7157,TUMOR PROTEIN p53; TP53
SALL4,*607343,57167,SAL-LIKE 4; SALL4
RJALS,#616200,,RUIJS-AALFS PROGEROID SYNDROME; RJALS
PIK3CA,*171834,5290,"PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA; PIK3CA"
HFE1,#235200,,"HEMOCHROMATOSIS, TYPE 1; HFE1"
MET,*164860,4233,"MET PROTOONCOGENE, RECEPTOR TYROSINE KINASE; MET"
CTNNB1,*116806,1499,"CATENIN, BETA-1; CTNNB1"
