Cluster_number,Cluster_member,AC_Score,SwissParam_Score_kcal_per_mol
0,1,208.422885,-7.172
1,1,210.015548,-7.4482
2,1,213.717676,-7.6477
3,1,215.433229,-7.3987
4,1,215.71108,-8.4161
5,1,217.523596,-7.6085
6,1,219.700841,-8.6256
7,1,220.659413,-6.5942
8,1,222.361149,-6.5055
9,1,228.815663,-9.1675
10,1,230.019911,-7.6324
11,1,230.919216,-7.2183
12,1,231.340228,-7.6672
13,1,232.176323,-7.4945
14,1,233.06293,-7.6006
15,1,238.515006,-7.2912
16,1,241.054554,-7.6327
17,1,242.942052,-7.07
18,1,245.039902,-8.5555
19,1,246.761448,-7.4066
20,1,248.486957,-4.6589
21,1,251.111182,-6.7696
22,1,253.39947,-8.1666
23,1,254.384279,-6.3207
24,1,254.714546,-6.5061
25,1,256.011073,-7.1385
26,1,258.712452,-8.5936
27,1,261.303199,-8.1363
28,1,261.316752,-8.0172
29,1,264.024425,-8.035
30,1,290.825208,-5.6742
31,1,291.568316,-4.7271
32,1,293.412666,-8.7028
33,1,302.597193,-4.8094
34,1,302.676152,-8.4881
35,1,318.382452,-8.1354
36,1,337.57785,-4.1727
37,1,370.615016,-6.722
38,1,390.355731,-2.4166
39,1,414.026675,-6.1681
40,1,418.657611,-1.7879
41,1,454.232877,1.5806
42,1,470.13565,-0.7564
43,1,502.648689,1.9536
44,1,522.834661,2.4952
45,1,577.371192,7.9282
46,1,595.639534,10.5956
47,1,664.452123,9.7016
48,1,709.035566,6.4458
49,1,714.642562,11.8665
