#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	MMP2	9606.ENSP00000478255	9606.ENSP00000219070	0	0	0	0	0.111	0	0	0.374	0.420
ABCB1	LGALS3	9606.ENSP00000478255	9606.ENSP00000254301	0	0	0	0	0	0.407	0	0.187	0.498
ABCB1	MDM2	9606.ENSP00000478255	9606.ENSP00000258149	0	0	0	0	0.103	0.068	0	0.419	0.472
ABCB1	KDR	9606.ENSP00000478255	9606.ENSP00000263923	0	0	0	0	0.054	0	0	0.452	0.460
ABCB1	STAT3	9606.ENSP00000478255	9606.ENSP00000264657	0	0	0	0	0	0	0	0.800	0.800
ABCB1	EGFR	9606.ENSP00000478255	9606.ENSP00000275493	0	0	0	0	0.071	0	0	0.607	0.619
ABCB1	ALB	9606.ENSP00000478255	9606.ENSP00000295897	0	0	0	0	0.074	0	0	0.553	0.569
ABCB1	CASP3	9606.ENSP00000478255	9606.ENSP00000311032	0	0	0	0	0.042	0.053	0	0.572	0.578
ABCB1	TYMS	9606.ENSP00000478255	9606.ENSP00000315644	0.054	0	0	0	0	0	0	0.542	0.548
ABCB1	MET	9606.ENSP00000478255	9606.ENSP00000317272	0	0	0	0	0.069	0.054	0	0.386	0.412
ABCB1	GSK3B	9606.ENSP00000478255	9606.ENSP00000324806	0	0	0	0	0.050	0.054	0	0.411	0.425
ABCB1	NR1I2	9606.ENSP00000478255	9606.ENSP00000336528	0	0	0	0	0.094	0	0	0.832	0.842
ABCB1	PARP1	9606.ENSP00000478255	9606.ENSP00000355759	0	0	0	0	0	0	0	0.544	0.544
ABCB1	PTGS2	9606.ENSP00000478255	9606.ENSP00000356438	0	0	0	0	0	0	0	0.410	0.410
ABCB1	XIAP	9606.ENSP00000478255	9606.ENSP00000360242	0	0	0	0	0.067	0.070	0	0.398	0.432
ABCB1	MMP9	9606.ENSP00000478255	9606.ENSP00000361405	0	0	0	0	0.111	0	0	0.418	0.460
ABCB1	SRC	9606.ENSP00000478255	9606.ENSP00000362680	0	0	0	0	0.050	0.054	0	0.420	0.433
ABCB1	GSTP1	9606.ENSP00000478255	9606.ENSP00000381607	0	0	0	0	0.074	0	0	0.581	0.595
ABCB1	ESR1	9606.ENSP00000478255	9606.ENSP00000405330	0	0	0	0	0.045	0	0	0.526	0.528
ABCB1	HIF1A	9606.ENSP00000478255	9606.ENSP00000437955	0	0	0	0	0.061	0	0	0.527	0.536
